country,year,population,cont,life_exp,gdp_cap
Iceland,2007,301931.0,Europe,81.757,36180.78919
Kuwait,2007,2505559.0,Asia,77.588,47306.98978
Ireland,2007,4109086.0,Europe,78.885,40675.99635
Singapore,2007,4553009.0,Asia,79.972,47143.17964
Norway,2007,4627926.0,Europe,80.196,49357.19017
Finland,2007,5238460.0,Europe,79.313,33207.0844
Denmark,2007,5468120.0,Europe,78.332,35278.41874
"Hong Kong, China",2007,6980412.0,Asia,82.208,39724.97867
Switzerland,2007,7554661.0,Europe,81.701,37506.41907
Austria,2007,8199783.0,Europe,79.829,36126.4927
Sweden,2007,9031088.0,Europe,80.884,33859.74835
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Netherlands,2007,16570613.0,Europe,79.762,36797.93332
United Kingdom,2007,60776238.0,Europe,79.425,33203.26128
France,2007,61083916.0,Europe,80.657,30470.0167
Germany,2007,82400996.0,Europe,79.406,32170.37442
Japan,2007,127467972.0,Asia,82.603,31656.06806
